"시도별(1)","성별 및 연령별(1)",성별 및 연령별(2),2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019
"시도별(1)","성별 및 연령별(1)",성별 및 연령별(2),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%),발생건수 (건),분율 (%)
"광주","전체",소계,609,2.2,655,2.2,656,2.2,677,2.2,640,2.1,626,2.1,574,1.9,647,2.1
"광주","성별",남자,369,60.6,405,61.8,425,64.8,452,66.8,414,64.7,412,65.8,363,63.2,413,63.8
"광주","성별",여자,238,39.1,250,38.2,231,35.2,225,33.2,226,35.3,214,34.2,211,36.8,234,36.2
"광주","성별",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광주","나이",0~9세,-,-,18,2.7,-,-,11,1.6,14,2.2,15,2.4,-,-,-,-
"광주","나이",10~19세,11,1.8,13,2.0,20,3.0,-,-,13,2.0,-,-,10,1.7,11,1.7
"광주","나이",20~29세,24,3.9,22,3.4,35,5.3,22,3.2,19,3.0,30,4.8,16,2.8,29,4.5
"광주","나이",30~39세,40,6.6,44,6.7,44,6.7,38,5.6,34,5.3,38,6.1,25,4.4,39,6.0
"광주","나이",40~49세,65,10.7,66,10.1,70,10.7,61,9.0,50,7.8,71,11.3,58,10.1,65,10.0
"광주","나이",50~59세,99,16.3,100,15.3,107,16.3,100,14.8,98,15.3,113,18.1,100,17.4,98,15.1
"광주","나이",60~69세,91,14.9,77,11.8,79,12.0,113,16.7,95,14.8,94,15.0,83,14.5,96,14.8
"광주","나이",70~79세,148,24.3,161,24.6,139,21.2,162,23.9,163,25.5,107,17.1,117,20.4,146,22.6
"광주","나이",80세 이상,122,20.0,154,23.5,154,23.5,165,24.4,154,24.1,149,23.8,156,27.2,158,24.4
"광주","나이",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대전","전체",소계,716,2.6,749,2.6,696,2.3,781,2.5,707,2.4,651,2.2,716,2.3,739,2.4
"대전","성별",남자,445,62.2,469,62.6,416,59.8,484,62.0,439,62.1,398,61.1,444,62.0,473,64.0
"대전","성별",여자,270,37.7,278,37.1,278,39.9,297,38.0,265,37.5,253,38.9,272,38.0,266,36.0
"대전","성별",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대전","나이",0~9세,11,1.5,-,-,15,2.2,12,1.5,10,1.4,-,-,12,1.7,13,1.8
"대전","나이",10~19세,13,1.8,-,-,11,1.6,16,2.0,10,1.4,11,1.7,13,1.8,-,-
"대전","나이",20~29세,28,3.9,21,2.8,30,4.3,26,3.3,19,2.7,22,3.4,24,3.4,32,4.3
"대전","나이",30~39세,38,5.3,37,4.9,29,4.2,51,6.5,23,3.3,27,4.1,34,4.7,29,3.9
"대전","나이",40~49세,75,10.5,89,11.9,74,10.6,67,8.6,54,7.6,53,8.1,63,8.8,61,8.3
"대전","나이",50~59세,104,14.5,119,15.9,113,16.2,107,13.7,108,15.3,107,16.4,104,14.5,115,15.6
"대전","나이",60~69세,107,14.9,107,14.3,110,15.8,110,14.1,121,17.1,95,14.6,106,14.8,112,15.2
"대전","나이",70~79세,165,23.0,160,21.4,154,22.1,177,22.7,158,22.3,168,25.8,168,23.5,182,24.6
"대전","나이",80세 이상,175,24.4,198,26.4,159,22.8,215,27.5,204,28.9,160,24.6,192,26.8,186,25.2
"대전","나이",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"울산","전체",소계,485,1.7,560,1.9,547,1.8,538,1.7,511,1.7,501,1.7,579,1.9,624,2.0
"울산","성별",남자,301,62.1,369,65.9,355,64.9,352,65.4,346,67.7,338,67.5,401,69.3,420,67.3
"울산","성별",여자,183,37.7,191,34.1,192,35.1,186,34.6,164,32.1,163,32.5,178,30.7,204,32.7
"울산","성별",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"울산","나이",0~9세,16,3.3,15,2.7,20,3.7,13,2.4,14,2.7,19,3.8,13,2.2,11,1.8
"울산","나이",10~19세,-,-,13,2.3,-,-,-,-,-,-,-,-,-,-,14,2.2
"울산","나이",20~29세,19,3.9,31,5.5,17,3.1,20,3.7,15,2.9,16,3.2,25,4.3,15,2.4
"울산","나이",30~39세,30,6.2,31,5.5,42,7.7,27,5.0,41,8.0,31,6.2,37,6.4,25,4.0
"울산","나이",40~49세,75,15.5,60,10.7,74,13.5,68,12.6,50,9.8,57,11.4,62,10.7,58,9.3
"울산","나이",50~59세,91,18.8,113,20.2,97,17.7,108,20.1,83,16.2,100,20.0,112,19.3,117,18.8
"울산","나이",60~69세,80,16.5,83,14.8,78,14.3,102,19.0,95,18.6,86,17.2,102,17.6,102,16.3
"울산","나이",70~79세,73,15.1,125,22.3,109,19.9,95,17.7,107,20.9,91,18.2,113,19.5,139,22.3
"울산","나이",80세 이상,92,19.0,81,14.5,100,18.3,99,18.4,95,18.6,91,18.2,106,18.3,143,22.9
"울산","나이",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종","전체",소계,71,0.3,81,0.3,84,0.3,96,0.3,118,0.4,112,0.4,139,0.5,105,0.3
"세종","성별",남자,49,69.0,49,60.5,62,73.8,72,75.0,80,67.8,75,67.0,97,69.8,70,66.7
"세종","성별",여자,22,31.0,32,39.5,22,26.2,24,25.0,38,32.2,37,33.0,42,30.2,35,33.3
"세종","성별",미상,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종","나이",0~9세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종","나이",10~19세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종","나이",20~29세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"세종","나이",30~39세,-,-,-,-,-,-,-,-,11,9.3,-,-,-,-,-,-
